aX,aY,aZ,gX,gY,gZ
0.306,0.859,2.369,39.673,-9.521,9.094
0.191,1.071,2.430,28.564,-13.000,11.536
-0.009,1.244,2.358,16.724,-10.437,13.428
-0.243,1.306,2.195,6.592,-3.906,12.146
-0.506,1.255,1.976,-5.493,-0.244,6.836
-0.797,1.110,1.646,-20.813,-2.991,-5.798
-1.018,0.838,1.220,-29.480,-5.310,-29.175
-1.085,0.360,0.801,-21.606,-8.301,-63.538
-0.994,-0.287,0.462,-1.770,-17.334,-106.323
-0.777,-1.024,0.133,15.686,-29.114,-149.048
-0.469,-1.757,-0.188,28.503,-32.227,-177.002
-0.109,-2.403,-0.422,47.974,-21.667,-184.021
0.246,-2.865,-0.568,69.824,2.563,-171.814
0.595,-3.107,-0.626,86.670,35.156,-149.292
0.945,-3.191,-0.572,96.558,59.937,-124.817
1.133,-3.112,-0.445,92.529,62.683,-96.375
1.162,-2.857,-0.279,77.087,50.293,-63.232
1.030,-2.463,-0.169,52.002,32.227,-27.893
0.705,-1.971,-0.104,21.851,6.531,4.822
0.284,-1.443,-0.038,-1.892,-19.714,29.724
-0.102,-0.981,0.033,-14.404,-34.912,44.006
-0.409,-0.634,0.093,-18.921,-37.231,50.476
-0.621,-0.406,0.153,-16.846,-31.677,50.964
-0.750,-0.259,0.219,-10.010,-22.888,47.058
-0.802,-0.192,0.304,-1.038,-13.062,39.978
-0.781,-0.206,0.391,7.690,-3.967,30.212
-0.690,-0.284,0.484,14.160,1.892,18.311
-0.567,-0.386,0.577,17.090,2.747,6.470
-0.422,-0.506,0.664,17.456,0.732,-4.028
-0.293,-0.627,0.745,16.968,-2.747,-11.414
-0.190,-0.753,0.836,17.822,-4.089,-15.381
-0.081,-0.880,0.919,18.860,-2.319,-15.991
0.009,-0.969,0.960,16.846,-0.610,-13.916
0.080,-1.013,0.966,12.390,-0.549,-9.277
0.131,-1.046,0.955,8.118,-1.282,-4.333
0.170,-1.058,0.932,2.930,-2.258,0.671
0.190,-1.051,0.889,-2.380,-2.991,5.310
0.183,-1.055,0.850,-5.981,-4.150,8.850
0.157,-1.070,0.845,-6.592,-4.944,12.329
0.143,-1.060,0.863,-6.226,-2.380,14.893
0.150,-1.032,0.861,-7.874,1.099,16.541
0.156,-1.026,0.855,-10.437,1.221,18.250
0.135,-1.004,0.857,-14.282,-3.845,20.386
0.104,-0.974,0.861,-18.188,-11.536,20.508
0.080,-0.947,0.875,-21.423,-19.165,19.287
0.034,-0.895,0.897,-24.353,-23.437,20.996
-0.024,-0.820,0.905,-27.344,-22.583,24.475
-0.071,-0.748,0.897,-28.931,-16.479,26.855
-0.079,-0.680,0.870,-28.748,-7.629,26.184
-0.056,-0.626,0.847,-26.794,-0.549,23.193
-0.036,-0.578,0.833,-24.658,3.235,20.569
-0.015,-0.562,0.845,-24.109,3.723,19.531
-0.015,-0.561,0.850,-26.489,2.991,20.569
-0.026,-0.546,0.823,-29.846,3.296,20.630
-0.021,-0.505,0.792,-30.823,4.089,18.433
-0.024,-0.443,0.783,-28.625,4.639,16.785
-0.026,-0.359,0.790,-24.475,6.592,15.198
-0.013,-0.313,0.796,-19.897,9.888,12.207
-0.007,-0.301,0.802,-16.296,10.559,8.484
-0.003,-0.300,0.804,-13.184,9.644,4.456
0.026,-0.308,0.802,-10.559,10.193,0.305
0.075,-0.337,0.798,-8.484,11.536,-1.587
0.091,-0.370,0.795,-7.751,11.536,1.099
0.071,-0.384,0.794,-7.202,10.986,5.615
0.080,-0.391,0.790,-6.409,11.780,6.836
0.099,-0.396,0.784,-6.226,10.986,5.432
0.099,-0.422,0.792,-6.775,6.042,4.333
0.083,-0.448,0.820,-7.690,0.122,3.357
0.067,-0.454,0.845,-8.972,-2.808,2.441
0.061,-0.451,0.856,-10.376,-2.869,1.892
0.056,-0.433,0.856,-11.414,-1.404,1.831
0.051,-0.413,0.847,-11.169,0.732,2.563
0.041,-0.411,0.831,-10.315,2.319,2.991
0.043,-0.416,0.831,-7.996,3.357,2.258
0.063,-0.431,0.843,-6.042,3.906,1.587
0.069,-0.448,0.857,-5.737,3.479,2.502
0.056,-0.448,0.866,-6.836,2.625,4.578
0.045,-0.455,0.865,-7.996,3.540,6.470
0.027,-0.467,0.861,-7.996,5.371,7.507
0.016,-0.475,0.862,-6.531,7.019,7.446
0.026,-0.470,0.858,-5.005,8.484,6.104
0.037,-0.471,0.850,-3.906,9.277,4.822
0.054,-0.480,0.848,-3.052,8.301,3.784
0.062,-0.485,0.854,-2.197,7.141,3.296
0.063,-0.495,0.865,-1.526,7.874,3.357
0.071,-0.496,0.870,-0.977,10.071,3.845
0.077,-0.491,0.871,-0.427,11.841,5.310
0.070,-0.487,0.871,-1.038,11.108,7.446
0.057,-0.478,0.879,-1.587,8.606,8.240
0.053,-0.467,0.887,-1.587,6.287,7.812
0.052,-0.467,0.891,-0.854,4.944,7.507
0.045,-0.474,0.902,0.549,5.249,7.996
