aX,aY,aZ,gX,gY,gZ
0.285,-1.944,0.087,746.094,-75.745,-108.887
0.296,-2.007,0.691,666.443,-116.821,-75.928
0.348,-1.922,1.180,578.979,-130.249,-38.330
0.248,-1.911,1.564,485.229,-123.291,-8.850
0.102,-1.668,1.727,388.428,-96.313,14.893
-0.081,-1.453,1.582,286.621,-69.458,13.733
-0.271,-1.312,1.263,180.542,-60.059,-11.841
-0.344,-1.224,0.913,91.919,-65.735,-53.833
-0.330,-1.252,0.650,27.649,-78.430,-101.563
-0.203,-1.310,0.499,-10.193,-90.820,-143.188
-0.059,-1.428,0.481,-27.283,-94.604,-167.358
0.113,-1.515,0.552,-31.128,-87.708,-165.222
0.245,-1.542,0.627,-30.701,-73.792,-138.733
0.245,-1.512,0.612,-24.963,-50.354,-100.403
0.206,-1.410,0.508,-16.663,-21.179,-57.922
0.134,-1.281,0.343,-9.460,2.380,-22.888
0.061,-1.139,0.185,-4.883,17.578,-4.395
0.027,-1.032,0.090,-5.798,19.348,-1.587
0.013,-0.969,0.077,-13.367,9.888,-9.827
0.016,-0.933,0.113,-23.865,-3.540,-25.208
0.047,-0.920,0.167,-35.522,-14.038,-41.260
0.069,-0.935,0.212,-46.204,-21.423,-54.077
0.079,-0.954,0.227,-53.772,-24.109,-60.547
0.087,-0.967,0.218,-57.251,-23.071,-60.974
0.088,-0.993,0.218,-57.922,-20.813,-57.068
0.107,-1.021,0.256,-58.777,-19.958,-49.133
0.112,-1.044,0.330,-62.927,-21.851,-37.231
0.087,-1.059,0.402,-69.458,-22.400,-22.339
0.055,-1.062,0.445,-75.378,-15.381,-8.423
0.013,-1.070,0.448,-79.712,-4.211,2.441
-0.015,-1.051,0.418,-83.740,6.409,10.437
-0.032,-1.038,0.398,-88.379,13.550,14.771
-0.023,-1.038,0.391,-94.360,16.724,16.052
0.016,-1.050,0.422,-102.356,15.198,15.686
0.049,-1.057,0.490,-115.967,9.521,16.235
0.073,-1.069,0.580,-133.118,4.028,19.409
0.067,-1.078,0.644,-152.649,4.517,24.597
0.062,-1.073,0.655,-170.593,13.367,31.860
0.066,-1.060,0.630,-185.364,26.062,38.391
0.071,-1.052,0.595,-199.097,39.001,44.006
0.092,-1.055,0.582,-209.534,48.950,49.255
0.112,-1.045,0.608,-217.529,54.016,54.016
0.085,-1.014,0.641,-222.595,56.641,60.669
0.047,-0.967,0.643,-222.839,61.768,67.139
0.017,-0.911,0.632,-219.482,72.327,70.129
-0.027,-0.882,0.580,-211.243,85.144,68.665
-0.037,-0.812,0.503,-196.838,94.910,65.369
-0.037,-0.753,0.459,-183.044,98.877,61.768
-0.003,-0.735,0.500,-172.119,94.055,57.495
0.054,-0.678,0.599,-171.021,80.200,54.077
0.025,-0.595,0.714,-184.143,57.434,52.490
0.016,-0.530,0.830,-209.229,34.973,48.889
0.007,-0.526,0.878,-237.610,19.409,39.490
0.018,-0.557,0.818,-257.446,12.512,27.405
0.048,-0.541,0.727,-264.893,10.010,16.052
0.091,-0.517,0.641,-261.169,7.080,7.935
0.112,-0.500,0.597,-246.216,1.892,5.554
0.140,-0.480,0.607,-222.168,-1.465,7.507
0.142,-0.420,0.671,-192.749,-0.488,11.414
0.103,-0.338,0.763,-164.551,4.333,15.625
0.092,-0.289,0.855,-145.996,12.329,16.724
0.086,-0.232,0.918,-138.977,20.996,15.869
0.075,-0.189,0.930,-140.015,26.184,14.282
0.078,-0.160,0.902,-144.165,27.832,11.963
0.073,-0.153,0.861,-147.095,25.635,9.155
0.068,-0.140,0.802,-142.151,19.226,7.629
0.070,-0.094,0.770,-127.441,10.071,4.272
0.090,-0.075,0.788,-107.300,0.977,-1.465
0.135,-0.073,0.862,-87.402,-3.174,-4.822
0.150,-0.063,0.940,-72.266,1.343,-4.700
0.158,-0.060,0.991,-63.416,13.245,-2.380
0.165,-0.051,0.990,-60.730,26.672,0.244
0.175,-0.040,0.947,-61.401,37.537,1.770
0.182,-0.032,0.893,-62.805,42.114,3.113
0.185,-0.026,0.848,-61.768,39.246,3.601
0.180,-0.015,0.821,-56.458,30.334,2.747
0.181,0.005,0.816,-47.058,17.822,0.000
0.189,0.017,0.819,-36.499,6.165,-3.723
0.193,0.024,0.840,-25.024,-2.197,-6.165
0.191,0.027,0.878,-13.245,-5.798,-7.874
0.199,0.019,0.914,-2.502,-3.906,-10.254
0.215,-0.007,0.947,5.798,3.113,-11.719
0.244,-0.036,0.974,11.780,13.123,-10.742
0.257,-0.039,0.978,13.672,22.461,-7.080
0.255,-0.042,0.970,11.536,28.503,-3.601
0.245,-0.043,0.956,8.728,30.273,-1.038
0.249,-0.040,0.936,7.080,27.588,-0.366
0.259,-0.045,0.940,3.967,19.409,-0.732
0.252,-0.044,0.970,-0.488,6.958,-0.671
0.249,-0.041,0.996,-4.395,-5.005,-0.244
0.242,-0.038,1.004,-6.592,-12.329,-0.916
0.237,-0.034,1.000,-6.714,-13.611,-1.526
0.235,-0.017,0.990,-4.150,-10.803,-1.282
